Country	D19-1_1	D19-1_2	D19-1_3	D19-1_4	D19-1_dk	D19-2_1	D19-2_2	D19-2_3	D19-2_4	D19-2_dk	D19-3_1	D19-3_2	D19-3_3	D19-3_4	D19-3_dk	D19-4_1	D19-4_2	D19-4_3	D19-4_4	D19-4_dk	D19-5_1	D19-5_2	D19-5_3	D19-5_4	D19-5_dk	D19-6_1	D19-6_2	D19-6_3	D19-6_4	D19-6_dk
BE	7	50	28	12	3	10	42	31	9	8	7	17	41	29	6	12	39	27	8	14	16	46	25	6	7	39	45	9	3	4
BG	12	42	20	17	9	11	30	16	12	31	11	17	23	30	19	11	24	12	13	40	22	34	14	13	17	37	38	6	5	14
CZ	6	39	38	14	3	6	33	33	13	15	11	27	35	17	10	7	33	32	13	15	10	31	33	18	8	26	43	17	8	6
DK	12	49	27	10	2	31	44	12	4	9	9	12	32	41	6	5	12	23	51	9	4	13	34	44	5	29	39	13	13	6
DE	10	47	30	10	3	20	48	18	5	9	8	14	28	41	9	12	30	25	13	20	9	31	33	19	8	44	37	10	4	5
EE	9	57	19	8	7	10	45	18	5	22	7	14	31	39	9	8	23	18	18	33	9	34	27	12	18	24	48	10	4	14
IE	12	49	21	15	3	12	50	15	6	17	7	17	32	33	11	6	27	22	19	26	8	30	29	21	12	31	45	8	6	10
EL	14	43	27	15	1	9	28	28	29	6	19	22	28	26	5	17	35	22	15	11	16	38	24	19	3	39	40	11	7	3
ES	8	35	29	26	2	9	32	17	15	27	8	15	22	38	17	14	26	15	15	30	27	39	11	9	14	53	33	4	4	6
FR	6	36	37	19	2	7	39	26	16	12	9	16	33	31	11	11	34	16	9	30	13	39	22	12	14	47	43	3	3	4
HR	11	51	23	10	5	13	45	19	9	14	12	27	27	23	11	13	37	21	11	18	17	39	24	11	9	32	43	12	5	8
IT	3	32	41	17	7	7	35	24	17	17	13	29	23	17	18	10	32	17	8	33	15	43	17	9	16	25	43	12	7	13
CY	19	47	19	12	3	9	29	18	30	14	23	28	16	25	8	13	29	14	15	29	21	31	18	23	7	53	29	5	7	6
LV	10	49	26	11	4	9	41	22	8	20	11	17	33	24	15	9	27	22	13	29	12	33	26	14	15	26	44	13	6	11
LT	15	53	18	9	5	13	49	13	5	20	7	16	33	36	8	11	35	13	8	33	15	47	18	8	12	40	45	5	3	7
LU	11	56	25	5	3	12	46	26	4	12	7	13	33	38	9	6	26	28	19	21	14	41	26	11	8	52	35	5	3	5
HU	10	40	32	16	2	12	40	26	13	9	11	19	32	31	7	25	40	21	8	6	17	32	28	15	8	23	33	22	15	7
MT	9	40	31	16	4	20	53	8	3	16	8	14	33	33	12	10	34	13	11	32	13	37	25	16	9	46	44	3	2	5
NL	10	48	31	8	3	22	51	13	4	10	7	12	32	44	5	8	24	29	24	15	6	34	34	19	7	29	45	14	8	4
AT	16	48	25	9	2	17	40	25	11	7	15	15	28	33	9	9	30	27	19	15	9	22	30	31	8	32	37	16	9	6
PL	16	55	17	4	8	14	38	20	7	21	9	25	31	21	14	14	45	12	4	25	14	38	20	10	18	33	46	8	3	10
PT	5	47	32	15	1	11	38	28	7	16	7	24	34	24	11	10	40	22	8	20	17	53	17	4	9	40	49	6	2	3
RO	12	43	25	13	7	13	35	21	11	20	11	19	28	30	12	15	38	16	8	23	25	47	14	5	9	42	40	9	3	6
SI	18	48	24	8	2	17	41	24	6	12	23	28	26	17	6	14	30	26	11	19	22	39	24	7	8	36	41	12	4	7
SK	12	48	26	10	4	10	39	26	10	15	9	22	35	25	9	10	31	30	13	16	14	37	26	15	8	30	47	11	6	6
FI	7	55	28	7	3	22	44	19	5	10	9	17	33	31	10	3	13	27	47	10	4	19	36	34	7	28	45	13	9	5
SE	10	63	20	5	2	28	49	13	4	6	12	23	29	28	8	3	12	23	51	11	3	14	35	44	4	34	39	12	11	4
UK	6	42	28	17	7	13	41	17	5	24	20	25	24	12	19	4	17	25	23	31	7	17	30	31	15	20	39	19	11	11
